review_id,order_id,review_score,review_creation_date,review_answer_timestamp
rev_000000,order_000000,5,2016-10-15 10:14:34.029455689,2016-10-17 01:45:11.397818626
rev_000001,order_000001,5,2017-08-21 19:28:47.000000000,2017-08-22 08:50:05.000000000
rev_000002,order_000002,1,2017-12-09 13:53:01.377379340,2017-12-13 02:50:09.267114932
rev_000003,order_000003,3,2017-03-28 19:20:03.796829572,2017-04-01 02:16:14.254236828
rev_000004,order_000004,5,2016-12-14 17:56:45.248694325,2016-12-17 18:48:08.000000000
rev_000005,order_000005,5,2017-05-04 14:45:59.816457371,2017-05-05 15:02:54.840413543
rev_000006,order_000006,5,2017-07-29 01:47:58.464019668,2017-08-01 06:04:29.000000000
rev_000007,order_000007,1,2016-06-21 04:52:40.354310681,2016-06-21 07:16:40.354310681
rev_000008,order_000008,5,2017-08-29 22:22:58.393560517,2017-09-02 21:11:06.208738916
rev_000009,order_000009,5,2018-07-21 00:50:32.367703640,2018-07-22 23:59:57.425520266
rev_000010,order_000010,5,2018-08-31 11:57:57.866702451,2018-09-03 04:16:10.573602820
rev_000011,order_000011,5,2017-08-19 02:59:36.623882034,2017-08-19 15:22:28.000000000
rev_000012,order_000012,1,2018-07-05 14:11:35.556494785,2018-07-06 16:20:14.965908781
rev_000013,order_000013,4,2017-10-31 06:39:28.381557189,2017-11-02 06:13:24.678396152
rev_000014,order_000014,4,2016-02-17 00:54:45.887079853,2016-02-17 19:05:10.910861107
rev_000015,order_000015,3,2017-06-25 11:57:59.000000000,2017-06-26 01:32:46.360505326
rev_000016,order_000016,3,2017-06-19 21:28:24.000000000,2017-06-20 16:14:06.323148018
rev_000017,order_000017,4,2017-12-08 22:52:13.000000000,2017-12-10 10:08:34.979401093
rev_000018,order_000018,5,2016-10-18 05:42:16.000000000,2016-10-19 19:17:26.000000000
rev_000019,order_000019,5,2018-03-08 08:13:56.000000000,2018-03-09 11:24:46.266955266
rev_000020,order_000020,2,2016-12-13 01:59:54.282021637,2016-12-14 10:01:40.000000000
rev_000021,order_000021,5,2017-03-14 04:30:40.000000000,2017-03-15 10:31:29.570963687
rev_000022,order_000022,1,2016-12-23 15:29:53.062741525,2016-12-23 17:53:53.062741525
rev_000023,order_000023,2,2016-09-28 02:47:01.971717893,2016-09-30 01:39:42.912754721
rev_000024,order_000024,5,2018-08-28 16:40:20.127310024,2018-08-29 01:53:09.253628771
rev_000025,order_000025,3,2018-03-29 15:14:49.405379636,2018-03-30 14:55:56.693378460
rev_000026,order_000026,1,2017-05-01 17:49:26.000000000,2017-05-02 19:36:10.081989389
rev_000027,order_000027,1,2017-12-26 07:36:08.296491251,2017-12-27 15:15:49.000000000
rev_000028,order_000028,5,2016-08-07 12:16:29.940377328,2016-08-08 00:46:04.634873452
rev_000029,order_000029,1,2016-06-19 09:14:06.538090571,2016-06-20 07:55:56.000000000
rev_000030,order_000030,5,2016-06-25 23:17:15.255641806,2016-06-29 03:44:28.412855131
rev_000031,order_000031,5,2016-11-30 01:22:39.000000000,2016-12-01 05:54:39.147026136
rev_000032,order_000032,5,2018-02-28 21:03:03.000225168,2018-03-01 16:55:19.000000000
rev_000033,order_000033,1,2017-02-13 21:49:51.680156955,2017-02-18 08:58:16.449626951
rev_000034,order_000034,4,2017-08-23 23:08:52.631717448,2017-08-24 19:42:03.000000000
rev_000035,order_000035,5,2018-03-23 08:00:29.000000000,2018-03-24 23:08:41.254091648
rev_000036,order_000036,4,2018-09-04 18:37:04.725139159,2018-09-06 14:21:46.000000000
rev_000037,order_000037,5,2018-08-19 10:06:47.000000000,2018-08-20 03:24:53.579764090
rev_000038,order_000038,5,2017-05-25 20:30:56.000000000,2017-05-28 14:39:28.000000000
rev_000039,order_000039,1,2016-08-12 21:23:02.025152278,2016-08-14 23:30:55.478733903
rev_000040,order_000040,4,2018-06-14 05:33:43.446948716,2018-06-17 03:15:08.003518352
rev_000041,order_000041,5,2017-07-24 00:19:34.817405969,2017-07-25 07:23:53.868707355
rev_000042,order_000042,3,2017-05-14 21:51:09.355949577,2017-05-15 19:53:50.718689488
rev_000043,order_000044,5,2018-03-12 08:47:01.484148094,2018-03-13 09:28:26.365148728
rev_000044,order_000045,5,2016-03-11 04:52:34.592929624,2016-03-13 16:42:15.699586670
rev_000045,order_000046,5,2017-08-29 23:58:17.000000000,2017-08-30 23:22:40.611599017
rev_000046,order_000047,5,2017-12-25 13:16:43.231562611,2017-12-26 18:31:37.335234510
rev_000047,order_000048,5,2016-06-15 23:26:24.965607006,2016-06-17 21:47:01.371859354
rev_000048,order_000049,3,2017-12-05 08:40:29.112187032,2017-12-07 06:35:37.453766232
rev_000049,order_000050,1,2016-10-04 21:22:38.767316156,2016-10-05 18:43:26.450954897
